period,PADD4_stocks,PADD4_runs,PADD4_prod,PADD4_imp,PADD4_JET_YIELD
2015-01-02,591.0,595.0,26.0,0.0,0.043697478991596636
2015-01-09,666.0,599.0,27.0,0.0,0.045075125208681135
2015-01-16,764.0,579.0,31.0,0.0,0.0535405872193437
2015-01-23,697.0,584.0,33.0,0.0,0.05650684931506849
2015-01-30,617.0,592.0,28.0,0.0,0.0472972972972973
2015-02-06,618.0,599.0,25.0,0.0,0.041736227045075125
2015-02-13,686.0,615.0,30.0,0.0,0.04878048780487805
2015-02-20,757.0,634.0,31.0,0.0,0.04889589905362776
2015-02-27,799.0,638.0,33.0,0.0,0.05172413793103448
2015-03-06,845.0,606.0,32.0,0.0,0.052805280528052806
2015-03-13,853.0,612.0,35.0,0.0,0.05718954248366013
2015-03-20,764.0,551.0,23.0,0.0,0.041742286751361164
2015-03-27,734.0,564.0,19.0,0.0,0.03368794326241135
2015-04-03,657.0,557.0,25.0,0.0,0.04488330341113106
2015-04-10,710.0,607.0,28.0,0.0,0.04612850082372323
2015-04-17,708.0,601.0,25.0,0.0,0.04159733777038269
2015-04-24,697.0,612.0,33.0,0.0,0.05392156862745098
2015-05-01,636.0,621.0,30.0,0.0,0.04830917874396135
2015-05-08,783.0,606.0,32.0,0.0,0.052805280528052806
2015-05-15,827.0,619.0,33.0,0.0,0.05331179321486268
2015-05-22,799.0,591.0,35.0,0.0,0.05922165820642978
2015-05-29,671.0,564.0,23.0,0.0,0.040780141843971635
2015-06-05,616.0,597.0,38.0,0.0,0.06365159128978225
2015-06-12,630.0,617.0,30.0,0.0,0.04862236628849271
2015-06-19,650.0,605.0,34.0,0.0,0.05619834710743802
2015-06-26,584.0,637.0,33.0,0.0,0.05180533751962323
2015-07-03,688.0,624.0,34.0,0.0,0.05448717948717949
2015-07-10,654.0,665.0,29.0,0.0,0.04360902255639098
2015-07-17,589.0,627.0,30.0,0.0,0.04784688995215311
2015-07-24,644.0,614.0,36.0,0.0,0.05863192182410423
2015-07-31,710.0,594.0,31.0,0.0,0.05218855218855219
2015-08-07,631.0,583.0,40.0,0.0,0.0686106346483705
2015-08-14,679.0,632.0,40.0,0.0,0.06329113924050633
2015-08-21,664.0,636.0,37.0,0.0,0.05817610062893082
2015-08-28,548.0,624.0,40.0,0.0,0.0641025641025641
2015-09-04,549.0,568.0,35.0,0.0,0.061619718309859156
2015-09-11,650.0,568.0,33.0,0.0,0.058098591549295774
2015-09-18,595.0,608.0,31.0,0.0,0.05098684210526316
2015-09-25,710.0,580.0,38.0,0.0,0.06551724137931035
2015-10-02,684.0,602.0,29.0,0.0,0.04817275747508306
2015-10-09,624.0,595.0,30.0,0.0,0.05042016806722689
2015-10-16,667.0,605.0,34.0,0.0,0.05619834710743802
2015-10-23,613.0,610.0,28.0,0.0,0.04590163934426229
2015-10-30,672.0,618.0,28.0,0.0,0.045307443365695796
2015-11-06,718.0,593.0,34.0,0.0,0.05733558178752108
2015-11-13,698.0,589.0,30.0,0.0,0.050933786078098474
2015-11-20,671.0,606.0,30.0,0.0,0.04950495049504951
2015-11-27,672.0,607.0,36.0,0.0,0.05930807248764415
2015-12-04,672.0,605.0,31.0,0.0,0.0512396694214876
2015-12-11,571.0,583.0,33.0,0.0,0.05660377358490566
2015-12-18,668.0,619.0,36.0,0.0,0.05815831987075929
2015-12-25,672.0,596.0,31.0,0.0,0.05201342281879195
2016-01-01,618.0,615.0,34.0,0.0,0.055284552845528454
2016-01-08,632.0,613.0,38.0,0.0,0.06199021207177814
2016-01-15,672.0,600.0,34.0,0.0,0.056666666666666664
2016-01-22,781.0,557.0,36.0,0.0,0.06463195691202872
2016-01-29,705.0,543.0,33.0,0.0,0.06077348066298342
2016-02-05,743.0,443.0,35.0,0.0,0.07900677200902935
2016-02-12,755.0,562.0,35.0,0.0,0.06227758007117438
2016-02-19,773.0,568.0,32.0,0.0,0.056338028169014086
2016-02-26,837.0,600.0,33.0,0.0,0.055
2016-03-04,857.0,621.0,41.0,0.0,0.06602254428341385
2016-03-11,817.0,619.0,31.0,0.0,0.050080775444264945
2016-03-18,758.0,596.0,35.0,0.0,0.0587248322147651
2016-03-25,753.0,553.0,24.0,0.0,0.0433996383363472
2016-04-01,640.0,538.0,23.0,0.0,0.04275092936802974
2016-04-08,578.0,535.0,22.0,0.0,0.041121495327102804
2016-04-15,652.0,546.0,26.0,0.0,0.047619047619047616
2016-04-22,632.0,513.0,28.0,0.0,0.05458089668615984
2016-04-29,609.0,530.0,27.0,0.0,0.0509433962264151
2016-05-06,656.0,536.0,32.0,0.0,0.05970149253731343
2016-05-13,692.0,560.0,41.0,0.0,0.07321428571428572
2016-05-20,723.0,613.0,35.0,0.0,0.057096247960848286
2016-05-27,635.0,607.0,33.0,0.0,0.054365733113673806
2016-06-03,640.0,624.0,37.0,0.0,0.05929487179487179
2016-06-10,577.0,652.0,38.0,0.0,0.05828220858895705
2016-06-17,608.0,661.0,33.0,0.0,0.049924357034795766
2016-06-24,498.0,652.0,34.0,0.0,0.05214723926380368
2016-07-01,571.0,648.0,37.0,0.0,0.05709876543209876
2016-07-08,670.0,627.0,37.0,0.0,0.05901116427432217
2016-07-15,663.0,618.0,38.0,0.0,0.061488673139158574
2016-07-22,666.0,617.0,39.0,0.0,0.06320907617504051
2016-07-29,717.0,624.0,38.0,0.0,0.060897435897435896
2016-08-05,671.0,577.0,39.0,0.0,0.06759098786828423
2016-08-12,687.0,589.0,41.0,0.0,0.06960950764006792
2016-08-19,798.0,589.0,44.0,0.0,0.07470288624787776
2016-08-26,778.0,584.0,37.0,0.0,0.06335616438356165
2016-09-02,779.0,625.0,34.0,0.0,0.0544
2016-09-09,795.0,672.0,38.0,0.0,0.05654761904761905
2016-09-16,820.0,642.0,34.0,0.0,0.0529595015576324
2016-09-23,898.0,648.0,40.0,0.0,0.06172839506172839
2016-09-30,932.0,657.0,44.0,0.0,0.0669710806697108
2016-10-07,888.0,599.0,24.0,0.0,0.04006677796327212
2016-10-14,804.0,574.0,20.0,0.0,0.03484320557491289
2016-10-21,695.0,561.0,18.0,0.0,0.03208556149732621
2016-10-28,700.0,578.0,26.0,0.0,0.04498269896193772
2016-11-04,620.0,628.0,25.0,0.0,0.03980891719745223
2016-11-11,647.0,631.0,28.0,0.0,0.044374009508716325
2016-11-18,634.0,643.0,32.0,0.0,0.049766718506998445
2016-11-25,664.0,597.0,30.0,0.0,0.05025125628140704
2016-12-02,738.0,629.0,33.0,0.0,0.05246422893481717
2016-12-09,635.0,597.0,31.0,0.0,0.051926298157453935
2016-12-16,668.0,597.0,33.0,0.0,0.05527638190954774
2016-12-23,697.0,594.0,33.0,0.0,0.05555555555555555
2016-12-30,599.0,595.0,29.0,0.0,0.04873949579831933
2017-01-06,622.0,625.0,32.0,0.0,0.0512
2017-01-13,693.0,606.0,31.0,0.0,0.05115511551155116
2017-01-20,689.0,613.0,36.0,0.0,0.05872756933115824
2017-01-27,546.0,618.0,26.0,0.0,0.042071197411003236
2017-02-03,667.0,603.0,34.0,0.0,0.05638474295190713
2017-02-10,633.0,624.0,27.0,0.0,0.04326923076923077
2017-02-17,711.0,573.0,28.0,0.0,0.04886561954624782
2017-02-24,574.0,573.0,25.0,0.0,0.04363001745200698
2017-03-03,640.0,575.0,26.0,0.0,0.04521739130434783
2017-03-10,604.0,603.0,30.0,0.0,0.04975124378109453
2017-03-17,541.0,556.0,32.0,0.0,0.05755395683453238
2017-03-24,590.0,618.0,29.0,0.0,0.04692556634304207
2017-03-31,621.0,639.0,31.0,0.0,0.048513302034428794
2017-04-07,641.0,658.0,40.0,0.0,0.060790273556231005
2017-04-14,690.0,682.0,43.0,0.0,0.06304985337243402
2017-04-21,742.0,645.0,34.0,0.0,0.05271317829457364
2017-04-28,699.0,616.0,36.0,0.0,0.05844155844155844
2017-05-05,709.0,590.0,35.0,0.0,0.059322033898305086
2017-05-12,747.0,615.0,37.0,0.0,0.06016260162601626
2017-05-19,677.0,618.0,36.0,0.0,0.05825242718446602
2017-05-26,745.0,625.0,36.0,0.0,0.0576
2017-06-02,857.0,620.0,39.0,0.0,0.06290322580645161
2017-06-09,819.0,611.0,32.0,0.0,0.05237315875613748
