period,PADD5_stocks,PADD5_runs,PADD5_prod,PADD5_imp,PADD5_JET_YIELD
2015-01-02,8734.0,2579.0,424.0,0.0,0.16440480806514152
2015-01-09,8812.0,2534.0,429.0,37.0,0.16929755327545382
2015-01-16,8926.0,2454.0,467.0,8.0,0.19030154849225753
2015-01-23,9519.0,2503.0,416.0,27.0,0.16620055932880543
2015-01-30,9589.0,2503.0,448.0,0.0,0.17898521773871354
2015-02-06,9360.0,2465.0,440.0,0.0,0.17849898580121704
2015-02-13,9313.0,2458.0,443.0,14.0,0.18022782750203417
2015-02-20,9417.0,2370.0,432.0,69.0,0.18227848101265823
2015-02-27,9553.0,2410.0,403.0,13.0,0.16721991701244812
2015-03-06,9007.0,2414.0,401.0,45.0,0.16611433305716652
2015-03-13,9586.0,2467.0,438.0,114.0,0.17754357519254155
2015-03-20,9352.0,2477.0,432.0,47.0,0.17440452159870812
2015-03-27,9637.0,2416.0,455.0,0.0,0.18832781456953643
2015-04-03,9480.0,2471.0,440.0,0.0,0.17806556050182112
2015-04-10,9309.0,2556.0,445.0,84.0,0.17410015649452268
2015-04-17,9356.0,2447.0,419.0,45.0,0.17123007764609727
2015-04-24,8952.0,2307.0,384.0,45.0,0.16644993498049415
2015-05-01,8160.0,2314.0,380.0,0.0,0.16421780466724287
2015-05-08,7650.0,2311.0,381.0,58.0,0.1648636953699697
2015-05-15,7648.0,2437.0,371.0,155.0,0.15223635617562578
2015-05-22,7564.0,2505.0,372.0,59.0,0.14850299401197606
2015-05-29,7069.0,2421.0,407.0,45.0,0.1681123502684841
2015-06-05,7241.0,2498.0,412.0,76.0,0.16493194555644516
2015-06-12,7837.0,2530.0,465.0,75.0,0.18379446640316205
2015-06-19,7570.0,2530.0,430.0,97.0,0.16996047430830039
2015-06-26,8695.0,2564.0,415.0,169.0,0.16185647425897035
2015-07-03,8693.0,2534.0,450.0,73.0,0.17758484609313338
2015-07-10,9174.0,2578.0,444.0,135.0,0.17222653219550038
2015-07-17,8667.0,2690.0,502.0,75.0,0.18661710037174722
2015-07-24,9274.0,2700.0,476.0,94.0,0.17629629629629628
2015-07-31,8793.0,2676.0,454.0,86.0,0.1696562032884903
2015-08-07,8951.0,2704.0,423.0,0.0,0.15643491124260356
2015-08-14,8971.0,2730.0,488.0,69.0,0.17875457875457876
2015-08-21,8698.0,2711.0,462.0,111.0,0.17041682036149022
2015-08-28,8985.0,2694.0,438.0,147.0,0.16258351893095768
2015-09-04,9782.0,2659.0,457.0,132.0,0.17186912373072583
2015-09-11,9870.0,2739.0,492.0,22.0,0.1796276013143483
2015-09-18,9285.0,2630.0,469.0,0.0,0.17832699619771863
2015-09-25,9064.0,2594.0,425.0,7.0,0.1638396299151889
2015-10-02,8675.0,2656.0,444.0,8.0,0.16716867469879518
2015-10-09,9179.0,2518.0,441.0,48.0,0.17513899920571882
2015-10-16,9092.0,2473.0,397.0,7.0,0.16053376465830974
2015-10-23,8911.0,2583.0,425.0,60.0,0.16453735965931088
2015-10-30,8734.0,2590.0,435.0,0.0,0.16795366795366795
2015-11-06,8721.0,2517.0,434.0,48.0,0.1724274930472785
2015-11-13,8749.0,2484.0,424.0,48.0,0.1706924315619968
2015-11-20,8858.0,2538.0,429.0,97.0,0.1690307328605201
2015-11-27,8764.0,2606.0,443.0,0.0,0.16999232540291634
2015-12-04,8086.0,2515.0,428.0,89.0,0.17017892644135188
2015-12-11,8993.0,2495.0,443.0,93.0,0.17755511022044088
2015-12-18,9224.0,2433.0,440.0,45.0,0.1808466913275791
2015-12-25,8703.0,2409.0,429.0,10.0,0.1780821917808219
